Period,Method,Regime,ETF,Weight,Expected_Return,Ratio_Value,Observations
Single Period (2015-2025),Sharpe,"Slowing Growth, Falling Inflation",USA_GARP,0.14999999999999983,3.5634924815939453,1.0914890032114963,18
Single Period (2015-2025),Sharpe,"Slowing Growth, Falling Inflation",EAFE_MinVol,0.05852394852184621,3.5634924815939453,1.0914890032114963,18
Single Period (2015-2025),Sharpe,"Slowing Growth, Falling Inflation",World_Momentum,0.14999999999999994,3.5634924815939453,1.0914890032114963,18
Single Period (2015-2025),Sharpe,"Slowing Growth, Falling Inflation",USA_Quality_Factor,0.14999999999999966,3.5634924815939453,1.0914890032114963,18
Single Period (2015-2025),Sharpe,"Slowing Growth, Falling Inflation",Europe_MinVol_EUR,0.1499999999999997,3.5634924815939453,1.0914890032114963,18
Single Period (2015-2025),Sharpe,"Slowing Growth, Falling Inflation",Russell_2000,0.04147605147815394,3.5634924815939453,1.0914890032114963,18
Single Period (2015-2025),Sharpe,"Slowing Growth, Falling Inflation",Europe_Momentum_USD,0.14999999999999997,3.5634924815939453,1.0914890032114963,18
Single Period (2015-2025),Sharpe,"Slowing Growth, Rising Inflation",USA_Momentum,0.1499999999999997,-0.21720708170731864,-0.059446912844153835,41
Single Period (2015-2025),Sharpe,"Slowing Growth, Rising Inflation",World_Momentum,0.14999999999999974,-0.21720708170731864,-0.059446912844153835,41
Single Period (2015-2025),Sharpe,"Slowing Growth, Rising Inflation",USA_MinVol,0.14999999999999972,-0.21720708170731864,-0.059446912844153835,41
Single Period (2015-2025),Sharpe,"Slowing Growth, Rising Inflation",Europe_MinVol_EUR,0.09999999999999916,-0.21720708170731864,-0.059446912844153835,41
Single Period (2015-2025),Sharpe,"Slowing Growth, Rising Inflation",World_MinVol_USD,0.14999999999999952,-0.21720708170731864,-0.059446912844153835,41
Single Period (2015-2025),Sharpe,"Slowing Growth, Rising Inflation",Global_MinVol,0.1499999999999998,-0.21720708170731864,-0.059446912844153835,41
Single Period (2015-2025),Sharpe,"Slowing Growth, Rising Inflation",Europe_Momentum_USD,0.14999999999999955,-0.21720708170731864,-0.059446912844153835,41
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",Dividend_Growth,0.0909773383011632,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",USA_Momentum,0.14999999999999983,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",SP500_Value,0.02815561332565625,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",EAFE_MinVol,0.0489531845081246,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",World_Momentum,0.1449645790430135,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",USA_MinVol,0.12422330200765257,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",USA_Quality_Factor,0.002147167346512091,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",World_MinVol_USD,0.1284049752132274,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",Global_MinVol,0.13217384025465018,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Falling Inflation",Europe_Momentum_USD,0.14999999999999986,1.181367690525654,0.5604904373507502,30
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",Dividend_Growth,0.14999999999965263,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",USA_Momentum,0.1499999999996429,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",Asia_50,0.007548960270338532,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",EAFE_MinVol,0.12028482775415159,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",World_Momentum,0.07598989231819944,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",USA_MinVol,0.1499999999995463,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",World_MinVol_USD,0.1499999999995725,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",Global_MinVol,0.14999999999956204,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Rising Growth, Rising Inflation",Russell_2000,0.046176319655665245,1.4768714597225285,1.2178386971093391,27
Single Period (2015-2025),Sortino,"Slowing Growth, Falling Inflation",SP500_Value,0.07868263306297983,3.7086202236496053,2502.1864619402195,18
Single Period (2015-2025),Sortino,"Slowing Growth, Falling Inflation",USA_GARP,0.14998491704864528,3.7086202236496053,2502.1864619402195,18
Single Period (2015-2025),Sortino,"Slowing Growth, Falling Inflation",World_Momentum,0.13799770190131355,3.7086202236496053,2502.1864619402195,18
Single Period (2015-2025),Sortino,"Slowing Growth, Falling Inflation",USA_Quality_Factor,0.14997452623286905,3.7086202236496053,2502.1864619402195,18
Single Period (2015-2025),Sortino,"Slowing Growth, Falling Inflation",Europe_MinVol_EUR,0.033169513127918215,3.7086202236496053,2502.1864619402195,18
Single Period (2015-2025),Sortino,"Slowing Growth, Falling Inflation",USA_EqualWeight,0.14975187479222413,3.7086202236496053,2502.1864619402195,18
Single Period (2015-2025),Sortino,"Slowing Growth, Falling Inflation",Russell_2000,0.1499849739980504,3.7086202236496053,2502.1864619402195,18
Single Period (2015-2025),Sortino,"Slowing Growth, Falling Inflation",Europe_Momentum_USD,0.14977711813718086,3.7086202236496053,2502.1864619402195,18
Single Period (2015-2025),Sortino,"Slowing Growth, Rising Inflation",USA_Momentum,0.15,-0.21720708170731695,-0.07675654330812803,41
Single Period (2015-2025),Sortino,"Slowing Growth, Rising Inflation",World_Momentum,0.15,-0.21720708170731695,-0.07675654330812803,41
Single Period (2015-2025),Sortino,"Slowing Growth, Rising Inflation",USA_MinVol,0.15,-0.21720708170731695,-0.07675654330812803,41
Single Period (2015-2025),Sortino,"Slowing Growth, Rising Inflation",Europe_MinVol_EUR,0.09999999999999981,-0.21720708170731695,-0.07675654330812803,41
Single Period (2015-2025),Sortino,"Slowing Growth, Rising Inflation",World_MinVol_USD,0.15,-0.21720708170731695,-0.07675654330812803,41
Single Period (2015-2025),Sortino,"Slowing Growth, Rising Inflation",Global_MinVol,0.15,-0.21720708170731695,-0.07675654330812803,41
Single Period (2015-2025),Sortino,"Slowing Growth, Rising Inflation",Europe_Momentum_USD,0.15,-0.21720708170731695,-0.07675654330812803,41
